threshold,accuracy,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives
0.1,0.40179122915379867,0.2762539184952978,0.8867924528301887,0.4212727815954586,1847,90,705,596
0.15,0.47807288449660285,0.29959695476936854,0.8415094339622642,0.4418758256274769,1564,126,669,879
0.2,0.5404570722668314,0.3227621483375959,0.7937106918238994,0.45890909090909093,1324,164,631,1119
0.25,0.5951204447189623,0.3480565371024735,0.7433962264150943,0.4741275571600481,1107,204,591,1336
0.3,0.6426806670784435,0.3748271092669433,0.6817610062893081,0.4837126282909415,904,253,542,1539
0.35,0.6911673872760964,0.41686942416869427,0.6465408805031446,0.5069033530571992,719,281,514,1724
0.4,0.7279184681902409,0.45857418111753373,0.5987421383647799,0.51936715766503,562,319,476,1881
0.45,0.7513897467572576,0.4943946188340807,0.5547169811320755,0.5228215767634855,451,354,441,1992
0.5,0.7683755404570722,0.5288831835686778,0.5182389937106918,0.5235069885641678,367,383,412,2076
0.55,0.7841260037059914,0.5725075528700906,0.4767295597484277,0.5202470830473576,283,416,379,2160
0.6,0.794935145151328,0.6193078324225865,0.4276729559748428,0.5059523809523809,209,455,340,2234
0.65,0.8001852995676343,0.6601731601731602,0.3836477987421384,0.48528241845664283,157,490,305,2286
0.7,0.8011117974058061,0.6981627296587927,0.33459119496855344,0.4523809523809524,115,529,266,2328
0.75,0.8014206300185299,0.7483660130718954,0.2880503144654088,0.4159854677565849,77,566,229,2366
0.8,0.7986411365040148,0.7918367346938775,0.2440251572327044,0.3730769230769231,51,601,194,2392
0.85,0.7915379864113651,0.8125,0.19622641509433963,0.3161094224924012,36,639,156,2407
0.9,0.7850525015441631,0.8666666666666667,0.1471698113207547,0.25161290322580643,18,678,117,2425
0.95,0.772390364422483,0.8717948717948718,0.08553459119496855,0.15578465063001146,10,727,68,2433
