threshold,accuracy,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives
0.1,0.2603658536585366,0.24564676616915423,1.0,0.3944083874188717,1213,0,395,32
0.15,0.2865853658536585,0.23440712816997944,0.8658227848101265,0.36893203883495146,1117,53,342,128
0.2,0.35060975609756095,0.24270353302611367,0.8,0.37242192103712435,986,79,316,259
0.25,0.401219512195122,0.2556203164029975,0.7772151898734178,0.38471177944862156,894,88,307,351
0.3,0.4475609756097561,0.26623970722781337,0.7367088607594937,0.3911290322580645,802,104,291,443
0.35,0.500609756097561,0.2796257796257796,0.6810126582278481,0.3964627855563744,693,126,269,552
0.4,0.551219512195122,0.2962962962962963,0.6278481012658228,0.4025974025974026,589,147,248,656
0.45,0.6073170731707317,0.3182481751824818,0.5518987341772152,0.40370370370370373,467,177,218,778
0.5,0.6780487804878049,0.3397590361445783,0.3569620253164557,0.34814814814814815,274,254,141,971
0.55,0.7158536585365853,0.357429718875502,0.22531645569620254,0.27639751552795033,160,306,89,1085
0.6,0.7481707317073171,0.44,0.1670886075949367,0.24220183486238533,84,329,66,1161
0.65,0.7609756097560976,0.5151515151515151,0.1291139240506329,0.20647773279352227,48,344,51,1197
0.7,0.7658536585365854,0.5753424657534246,0.10632911392405063,0.1794871794871795,31,353,42,1214
0.75,0.7652439024390244,0.578125,0.09367088607594937,0.16122004357298475,27,358,37,1218
0.8,0.7682926829268293,0.7777777777777778,0.053164556962025315,0.0995260663507109,6,374,21,1239
0.85,0.7640243902439025,1.0,0.020253164556962026,0.03970223325062035,0,387,8,1245
0.9,0.7591463414634146,0.0,0.0,0.0,0,395,0,1245
0.95,0.7591463414634146,0.0,0.0,0.0,0,395,0,1245
