epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.87,1.43133,2.09578,1.60197,0.45339,0.50285,0.44558,0.19949,1.70568,2.23396,1.95789,0.000664975,0.000664975,0.000664975
2,245.243,1.59996,1.91916,1.73936,0.47758,0.50233,0.48402,0.20701,1.82111,1.95318,2.04012,0.00130527,0.00130527,0.00130527
3,362.769,1.63735,1.85344,1.77474,0.54248,0.53838,0.54217,0.2462,1.73293,1.73119,1.98039,0.00191917,0.00191917,0.00191917
4,478.115,1.63333,1.79068,1.75416,0.52023,0.50278,0.48407,0.20584,1.86354,1.95962,2.11829,0.0018812,0.0018812,0.0018812
5,593.693,1.56374,1.7256,1.69837,0.49853,0.47608,0.46332,0.20062,1.75706,1.89224,2.04726,0.0018416,0.0018416,0.0018416
6,710.479,1.51632,1.62769,1.66485,0.6237,0.60957,0.64871,0.33157,1.57513,1.53333,1.84959,0.001802,0.001802,0.001802
7,825.907,1.48922,1.61812,1.65625,0.62727,0.59154,0.62507,0.32779,1.57237,1.53206,1.77429,0.0017624,0.0017624,0.0017624
8,941.526,1.45716,1.5685,1.63059,0.67344,0.6218,0.67653,0.35987,1.48912,1.45007,1.77616,0.0017228,0.0017228,0.0017228
9,1058.46,1.44722,1.52291,1.6301,0.70869,0.69188,0.76173,0.42005,1.46174,1.26854,1.68779,0.0016832,0.0016832,0.0016832
10,1174.03,1.40041,1.44868,1.59008,0.60448,0.68298,0.68939,0.3825,1.43369,1.44693,1.69082,0.0016436,0.0016436,0.0016436
11,1289.84,1.3847,1.43957,1.58257,0.67941,0.62625,0.68243,0.38296,1.47917,1.33436,1.75014,0.001604,0.001604,0.001604
12,1405.52,1.38315,1.38357,1.563,0.71793,0.69931,0.73667,0.40854,1.45044,1.25303,1.6683,0.0015644,0.0015644,0.0015644
13,1520.71,1.34177,1.33626,1.53631,0.73551,0.71079,0.77792,0.46018,1.35812,1.13163,1.60394,0.0015248,0.0015248,0.0015248
14,1635.53,1.33101,1.33055,1.53185,0.73476,0.76307,0.80094,0.46325,1.36341,1.12167,1.61839,0.0014852,0.0014852,0.0014852
15,1751.15,1.31988,1.31391,1.51945,0.75133,0.74638,0.80164,0.47045,1.35961,1.09201,1.59754,0.0014456,0.0014456,0.0014456
16,1866.32,1.30544,1.27596,1.51536,0.74002,0.73415,0.7877,0.45917,1.36238,1.09668,1.6075,0.001406,0.001406,0.001406
17,1980.88,1.30727,1.27391,1.50934,0.76017,0.76154,0.81033,0.47242,1.33742,1.08416,1.57551,0.0013664,0.0013664,0.0013664
18,2095.95,1.29791,1.27032,1.50473,0.77731,0.74416,0.78694,0.47302,1.31528,1.0642,1.55123,0.0013268,0.0013268,0.0013268
19,2211.53,1.27416,1.23814,1.49426,0.73792,0.7475,0.78908,0.47471,1.30254,1.0389,1.56065,0.0012872,0.0012872,0.0012872
20,2330.06,1.25565,1.17891,1.46773,0.74017,0.8017,0.81658,0.49059,1.34232,1.02176,1.56242,0.0012476,0.0012476,0.0012476
21,2446.34,1.25426,1.17341,1.45654,0.77984,0.76085,0.81673,0.49255,1.31846,1.01119,1.57037,0.001208,0.001208,0.001208
22,2562.92,1.23063,1.1606,1.45733,0.77061,0.74638,0.80326,0.4862,1.29174,0.99941,1.52806,0.0011684,0.0011684,0.0011684
23,2679.71,1.23074,1.1419,1.43996,0.74228,0.76974,0.81571,0.50265,1.29851,0.96582,1.54648,0.0011288,0.0011288,0.0011288
24,2800.24,1.23467,1.12345,1.4467,0.75868,0.81482,0.83502,0.51542,1.24332,0.93861,1.48761,0.0010892,0.0010892,0.0010892
25,2919.84,1.20182,1.0826,1.4192,0.79213,0.77569,0.83213,0.51498,1.2776,0.92439,1.52994,0.0010496,0.0010496,0.0010496
26,3038.85,1.19053,1.08129,1.41077,0.80856,0.80806,0.8613,0.5339,1.26349,0.90485,1.52414,0.00101,0.00101,0.00101
27,3160.31,1.19869,1.09139,1.41676,0.77511,0.79363,0.82553,0.52904,1.22686,0.8933,1.48218,0.0009704,0.0009704,0.0009704
28,3277.6,1.19377,1.07094,1.41527,0.80767,0.76606,0.83616,0.54344,1.2054,0.89284,1.46515,0.0009308,0.0009308,0.0009308
29,3395.36,1.18114,1.05113,1.40241,0.77433,0.81535,0.84181,0.5312,1.23776,0.88886,1.50002,0.0008912,0.0008912,0.0008912
30,3514.65,1.14951,1.02735,1.38362,0.79256,0.82425,0.85287,0.54527,1.20892,0.87311,1.47988,0.0008516,0.0008516,0.0008516
31,3631.92,1.14188,1.00343,1.37485,0.81927,0.80676,0.86233,0.55796,1.19996,0.84461,1.45823,0.000812,0.000812,0.000812
32,3749.97,1.13489,0.99602,1.37298,0.80259,0.79595,0.8537,0.53828,1.25284,0.86127,1.49236,0.0007724,0.0007724,0.0007724
33,3868.17,1.14632,0.98841,1.37496,0.80932,0.82624,0.86041,0.54429,1.22531,0.84445,1.48079,0.0007328,0.0007328,0.0007328
34,3988.74,1.11131,0.94902,1.35275,0.80586,0.83092,0.87164,0.57098,1.19073,0.8082,1.44299,0.0006932,0.0006932,0.0006932
35,4108.49,1.10175,0.94407,1.34754,0.82018,0.82314,0.87394,0.57022,1.18986,0.81096,1.44023,0.0006536,0.0006536,0.0006536
36,4226.21,1.08976,0.92898,1.33156,0.84835,0.80892,0.87516,0.56308,1.20404,0.79589,1.45958,0.000614,0.000614,0.000614
37,4345.95,1.08879,0.92638,1.33694,0.80821,0.82759,0.86143,0.55866,1.19159,0.80633,1.45538,0.0005744,0.0005744,0.0005744
38,4467.51,1.0914,0.92764,1.33537,0.82865,0.83382,0.86951,0.56699,1.2114,0.79778,1.47196,0.0005348,0.0005348,0.0005348
39,4586.39,1.06993,0.8937,1.32307,0.83545,0.81313,0.87817,0.57586,1.18677,0.78032,1.44534,0.0004952,0.0004952,0.0004952
40,4704.77,1.06974,0.90243,1.32343,0.81285,0.84316,0.8737,0.57356,1.171,0.78313,1.44869,0.0004556,0.0004556,0.0004556
41,4824.11,0.9741,0.70372,1.2869,0.8555,0.80645,0.8879,0.58617,1.16302,0.7619,1.42105,0.000416,0.000416,0.000416
42,4943.44,0.94024,0.63946,1.26835,0.81913,0.83982,0.88179,0.58138,1.16446,0.76784,1.43532,0.0003764,0.0003764,0.0003764
43,5061.53,0.91293,0.61843,1.24183,0.82663,0.82647,0.8883,0.58962,1.14944,0.75892,1.42568,0.0003368,0.0003368,0.0003368
44,5182.28,0.89466,0.60834,1.22913,0.8071,0.84538,0.88309,0.58773,1.14467,0.74897,1.42145,0.0002972,0.0002972,0.0002972
45,5304.04,0.89523,0.5878,1.21966,0.84182,0.84654,0.89402,0.59313,1.1397,0.73615,1.42598,0.0002576,0.0002576,0.0002576
46,5423.56,0.868,0.56813,1.20205,0.85706,0.8109,0.89034,0.59781,1.13593,0.73522,1.41331,0.000218,0.000218,0.000218
47,5542.16,0.854,0.55991,1.20125,0.83799,0.84093,0.88851,0.59253,1.14472,0.74012,1.42798,0.0001784,0.0001784,0.0001784
48,5660.61,0.84905,0.54403,1.193,0.85229,0.83537,0.89004,0.5983,1.14519,0.73053,1.42055,0.0001388,0.0001388,0.0001388
49,5778.42,0.83183,0.5406,1.18372,0.85548,0.84316,0.89267,0.59551,1.1427,0.71791,1.42656,9.92e-05,9.92e-05,9.92e-05
50,5900.32,0.82726,0.52366,1.17888,0.8567,0.84093,0.89203,0.60195,1.13484,0.71018,1.42647,5.96e-05,5.96e-05,5.96e-05
